Origin;Destination;Outbound;Inbound;Price
LON;BER;2016-04-18;2016-04-28;38,06
LON;BER;2016-04-18;2016-04-30;64,02
LON;BER;2016-04-18;2016-05-01;71,14
LON;BER;2016-04-18;2016-05-02;74,25
LON;BER;2016-04-18;2016-05-09;84,20
LON;BER;2016-04-18;2016-05-19;44,41
LON;BER;2016-04-18;2016-05-28;45,71
LON;BER;2016-04-19;;34,80
LON;BER;2016-04-19;2016-04-19;69,84
LON;BER;2016-04-19;2016-04-20;69,98
LON;BER;2016-04-19;2016-04-21;78,33
LON;BER;2016-04-19;2016-04-22;74,56
LON;BER;2016-04-19;2016-04-23;68,13
LON;BER;2016-04-19;2016-04-24;66,29
LON;BER;2016-04-19;2016-04-25;55,62
LON;BER;2016-04-19;2016-04-26;54,01
LON;BER;2016-04-19;2016-04-27;42,40
LON;BER;2016-04-19;2016-04-28;49,90
LON;BER;2016-04-19;2016-04-29;48,57
LON;BER;2016-04-19;2016-04-30;38,72
LON;BER;2016-04-19;2016-05-01;45,96
LON;BER;2016-04-19;2016-05-02;76,55
LON;BER;2016-04-19;2016-05-03;68,13
LON;BER;2016-04-19;2016-05-04;66,48
LON;BER;2016-04-19;2016-05-05;59,38
LON;BER;2016-04-19;2016-05-06;58,54
LON;BER;2016-04-19;2016-05-11;59,38
LON;BER;2016-04-19;2016-05-13;71,44
LON;BER;2016-04-19;2016-05-21;59,55
LON;BER;2016-04-19;2016-05-25;59,43
LON;BER;2016-04-19;2016-05-26;58,65
LON;BER;2016-04-20;;35,17
LON;BER;2016-04-20;2016-04-20;63,30
LON;BER;2016-04-20;2016-04-21;68,21
LON;BER;2016-04-20;2016-04-22;70,23
LON;BER;2016-04-20;2016-04-23;65,57
LON;BER;2016-04-20;2016-04-24;69,34
LON;BER;2016-04-20;2016-04-25;78,01
LON;BER;2016-04-20;2016-04-26;57,47
LON;BER;2016-04-20;2016-04-27;57,50
LON;BER;2016-04-20;2016-04-28;43,14
LON;BER;2016-04-20;2016-04-29;68,13
LON;BER;2016-04-20;2016-04-30;51,27
LON;BER;2016-04-20;2016-05-02;76,71
LON;BER;2016-04-20;2016-05-03;59,87
LON;BER;2016-04-20;2016-05-04;46,15
LON;BER;2016-04-20;2016-05-05;59,43
LON;BER;2016-04-20;2016-05-20;57,75
LON;BER;2016-04-20;2016-07-20;63,41
LON;BER;2016-04-21;;37,30
LON;BER;2016-04-21;2016-04-21;65,21
LON;BER;2016-04-21;2016-04-22;69,44
LON;BER;2016-04-21;2016-04-23;46,00
LON;BER;2016-04-21;2016-04-24;74,18
LON;BER;2016-04-21;2016-04-25;68,55
LON;BER;2016-04-21;2016-04-26;56,88
LON;BER;2016-04-21;2016-04-27;57,43
LON;BER;2016-04-21;2016-04-28;64,32
LON;BER;2016-04-21;2016-04-29;38,78
LON;BER;2016-04-21;2016-04-30;64,01
LON;BER;2016-04-21;2016-05-01;73,41
LON;BER;2016-04-21;2016-05-03;74,33
LON;BER;2016-04-21;2016-05-04;57,47
LON;BER;2016-04-21;2016-05-05;55,37
LON;BER;2016-04-21;2016-05-09;50,99
LON;BER;2016-04-21;2016-05-12;61,71
LON;BER;2016-04-21;2016-05-22;57,41
LON;BER;2016-04-21;2016-06-16;44,09
LON;BER;2016-04-21;2016-07-27;43,70
LON;BER;2016-04-22;;56,96
LON;BER;2016-04-22;2016-04-22;107,97
LON;BER;2016-04-22;2016-04-23;81,08
LON;BER;2016-04-22;2016-04-24;107,97
LON;BER;2016-04-22;2016-04-25;101,97
LON;BER;2016-04-22;2016-04-26;84,53
LON;BER;2016-04-22;2016-04-27;57,98
LON;BER;2016-04-22;2016-04-28;78,25
LON;BER;2016-04-22;2016-04-29;91,99
LON;BER;2016-04-22;2016-04-30;57,29
LON;BER;2016-04-22;2016-05-01;72,10
LON;BER;2016-04-22;2016-05-02;103,44
LON;BER;2016-04-22;2016-05-03;98,21
LON;BER;2016-04-22;2016-05-04;82,34
LON;BER;2016-04-22;2016-05-05;71,74
LON;BER;2016-04-22;2016-05-06;86,09
LON;BER;2016-04-22;2016-05-10;80,68
LON;BER;2016-04-22;2016-05-14;110,83
LON;BER;2016-04-22;2016-05-22;75,47
LON;BER;2016-04-22;2016-05-23;77,58
LON;BER;2016-04-22;2016-05-26;77,96
LON;BER;2016-04-22;2016-05-29;93,54
LON;BER;2016-04-22;2016-07-26;61,01
LON;BER;2016-04-22;2016-07-27;61,01
LON;BER;2016-04-22;2016-07-31;91,16
LON;BER;2016-04-22;2016-08-01;91,29
LON;BER;2016-04-22;2016-08-14;77,88
LON;BER;2016-04-23;;61,05
LON;BER;2016-04-23;2016-04-23;89,83
LON;BER;2016-04-23;2016-04-24;91,67
LON;BER;2016-04-23;2016-04-25;87,35
LON;BER;2016-04-23;2016-04-26;78,31
LON;BER;2016-04-23;2016-04-27;37,36
LON;BER;2016-04-23;2016-04-28;63,58
LON;BER;2016-04-23;2016-04-29;74,30
LON;BER;2016-04-23;2016-04-30;90,73
LON;BER;2016-04-23;2016-05-01;101,08
LON;BER;2016-04-23;2016-05-02;84,26
LON;BER;2016-04-23;2016-05-03;75,28
LON;BER;2016-04-23;2016-05-05;74,53
LON;BER;2016-04-23;2016-05-06;66,88
LON;BER;2016-04-23;2016-05-07;77,01
LON;BER;2016-04-23;2016-05-09;59,40
LON;BER;2016-04-23;2016-05-20;69,01
LON;BER;2016-04-23;2016-05-25;51,30
LON;BER;2016-04-23;2016-07-25;66,61
LON;BER;2016-04-23;2016-07-31;71,01
LON;BER;2016-04-24;;34,99
LON;BER;2016-04-24;2016-04-24;103,69
LON;BER;2016-04-24;2016-04-25;71,66
LON;BER;2016-04-24;2016-04-26;63,38
LON;BER;2016-04-24;2016-04-27;54,05
LON;BER;2016-04-24;2016-04-28;43,14
LON;BER;2016-04-24;2016-04-29;54,96
LON;BER;2016-04-24;2016-04-30;64,39
LON;BER;2016-04-24;2016-05-01;71,40
LON;BER;2016-04-24;2016-05-02;114,91
LON;BER;2016-04-24;2016-05-03;54,92
LON;BER;2016-04-24;2016-05-04;64,60
LON;BER;2016-04-24;2016-05-06;57,47
LON;BER;2016-04-24;2016-05-07;48,63
LON;BER;2016-04-24;2016-05-08;75,80
LON;BER;2016-04-24;2016-05-09;52,53
LON;BER;2016-04-24;2016-05-31;46,32
LON;BER;2016-04-24;2016-06-07;62,82
LON;BER;2016-04-24;2016-07-31;66,61
LON;BER;2016-04-24;2016-08-15;61,53
LON;BER;2016-04-25;;34,80
LON;BER;2016-04-25;2016-04-25;40,09
LON;BER;2016-04-25;2016-04-26;56,00
LON;BER;2016-04-25;2016-04-27;47,73
LON;BER;2016-04-25;2016-04-28;56,00
LON;BER;2016-04-25;2016-04-29;57,21
LON;BER;2016-04-25;2016-04-30;54,00
LON;BER;2016-04-25;2016-05-01;65,57
LON;BER;2016-04-25;2016-05-02;98,98
LON;BER;2016-04-25;2016-05-03;68,13
LON;BER;2016-04-25;2016-05-04;54,41
LON;BER;2016-04-25;2016-05-05;55,40
LON;BER;2016-04-25;2016-05-07;9,12
LON;BER;2016-04-25;2016-05-08;61,86
LON;BER;2016-04-25;2016-05-09;55,62
LON;BER;2016-04-25;2016-05-11;47,46
LON;BER;2016-04-25;2016-05-13;58,81
LON;BER;2016-04-25;2016-05-30;60,12
LON;BER;2016-04-25;2016-06-05;94,22
LON;BER;2016-04-25;2016-06-06;61,76
LON;BER;2016-04-25;2016-06-09;63,10
LON;BER;2016-04-25;2016-06-30;43,52
LON;BER;2016-04-25;2016-07-31;66,61
LON;BER;2016-04-26;;24,73
LON;BER;2016-04-26;2016-04-26;52,68
LON;BER;2016-04-26;2016-04-27;55,54
LON;BER;2016-04-26;2016-04-28;54,17
LON;BER;2016-04-26;2016-04-29;68,21
LON;BER;2016-04-26;2016-04-30;64,64
LON;BER;2016-04-26;2016-05-01;70,20
LON;BER;2016-04-26;2016-05-02;89,65
LON;BER;2016-04-26;2016-05-03;57,41
LON;BER;2016-04-26;2016-05-04;51,77
LON;BER;2016-04-26;2016-05-05;59,88
LON;BER;2016-04-26;2016-05-07;46,41
LON;BER;2016-04-26;2016-05-08;59,72
LON;BER;2016-04-26;2016-05-09;55,95
LON;BER;2016-04-26;2016-05-10;45,38
LON;BER;2016-04-26;2016-06-05;94,22
LON;BER;2016-04-27;;34,98
LON;BER;2016-04-27;2016-04-27;50,12
LON;BER;2016-04-27;2016-04-28;34,64
LON;BER;2016-04-27;2016-04-29;55,40
LON;BER;2016-04-27;2016-04-30;54,11
LON;BER;2016-04-27;2016-05-01;69,64
LON;BER;2016-04-27;2016-05-02;99,09
LON;BER;2016-04-27;2016-05-03;63,74
LON;BER;2016-04-27;2016-05-04;58,04
LON;BER;2016-04-27;2016-05-05;44,00
LON;BER;2016-04-27;2016-05-06;45,71
LON;BER;2016-04-27;2016-05-09;54,41
LON;BER;2016-04-27;2016-05-10;47,55
LON;BER;2016-04-27;2016-05-11;44,55
LON;BER;2016-04-28;;44,40
LON;BER;2016-04-28;2016-04-28;38,04
LON;BER;2016-04-28;2016-04-29;79,91
LON;BER;2016-04-28;2016-04-30;71,48
LON;BER;2016-04-28;2016-05-01;68,90
LON;BER;2016-04-28;2016-05-02;116,56
LON;BER;2016-04-28;2016-05-03;89,96
LON;BER;2016-04-28;2016-05-04;77,05
LON;BER;2016-04-28;2016-05-05;64,34
LON;BER;2016-04-28;2016-05-08;68,56
LON;BER;2016-04-28;2016-05-09;68,56
LON;BER;2016-04-28;2016-05-10;65,93
LON;BER;2016-04-28;2016-05-11;62,45
LON;BER;2016-04-28;2016-05-12;61,29
LON;BER;2016-04-28;2016-05-13;75,53
LON;BER;2016-04-28;2016-05-20;61,20
LON;BER;2016-04-28;2016-05-30;84,05
LON;BER;2016-04-29;;77,30
LON;BER;2016-04-29;2016-04-29;95,82
LON;BER;2016-04-29;2016-04-30;105,85
LON;BER;2016-04-29;2016-05-01;121,07
LON;BER;2016-04-29;2016-05-02;142,03
LON;BER;2016-04-29;2016-05-03;188,44
LON;BER;2016-04-29;2016-05-04;100,10
LON;BER;2016-04-29;2016-05-05;105,58
LON;BER;2016-04-29;2016-05-06;105,58
LON;BER;2016-04-29;2016-05-07;83,77
LON;BER;2016-04-29;2016-05-08;98,40
LON;BER;2016-04-29;2016-05-09;120,00
LON;BER;2016-04-29;2016-05-11;108,00
LON;BER;2016-04-29;2016-05-12;103,28
LON;BER;2016-04-29;2016-05-13;99,93
LON;BER;2016-04-29;2016-05-20;77,52
LON;BER;2016-04-29;2016-05-21;71,19
LON;BER;2016-04-29;2016-05-30;133,82
LON;BER;2016-04-29;2016-07-31;111,23
LON;BER;2016-04-30;;87,95
LON;BER;2016-04-30;2016-04-30;148,96
LON;BER;2016-04-30;2016-05-01;112,98
LON;BER;2016-04-30;2016-05-02;181,94
LON;BER;2016-04-30;2016-05-03;133,00
LON;BER;2016-04-30;2016-05-04;111,26
LON;BER;2016-04-30;2016-05-05;97,30
LON;BER;2016-04-30;2016-05-06;115,81
LON;BER;2016-04-30;2016-05-07;102,56
LON;BER;2016-04-30;2016-05-08;99,70
LON;BER;2016-04-30;2016-05-09;127,74
LON;BER;2016-04-30;2016-05-10;71,43
LON;BER;2016-04-30;2016-05-12;125,54
LON;BER;2016-04-30;2016-05-14;177,76
LON;BER;2016-04-30;2016-05-21;84,44
LON;BER;2016-04-30;2016-05-30;131,94
LON;BER;2016-04-30;2016-06-02;97,30
LON;BER;2016-04-30;2016-06-30;105,24
LON;BER;2016-05-01;;34,80
LON;BER;2016-05-01;2016-05-02;75,21
LON;BER;2016-05-01;2016-05-03;68,21
LON;BER;2016-05-01;2016-05-04;68,53
LON;BER;2016-05-01;2016-05-05;557,73
LON;BER;2016-05-01;2016-05-06;49,83
LON;BER;2016-05-01;2016-05-07;49,15
LON;BER;2016-05-01;2016-05-08;54,71
LON;BER;2016-05-01;2016-05-09;55,58
LON;BER;2016-05-01;2016-05-10;57,28
LON;BER;2016-05-01;2016-05-11;67,69
LON;BER;2016-05-01;2016-05-12;49,24
LON;BER;2016-05-01;2016-05-14;50,23
LON;BER;2016-05-01;2016-05-15;63,34
LON;BER;2016-05-01;2016-05-16;73,99
LON;BER;2016-05-01;2016-05-22;64,58
LON;BER;2016-05-01;2016-05-25;52,40
LON;BER;2016-05-01;2016-05-31;70,19
LON;BER;2016-05-01;2017-04-20;137,26
LON;BER;2016-05-02;;21,35
LON;BER;2016-05-02;2016-05-02;91,33
LON;BER;2016-05-02;2016-05-03;59,17
LON;BER;2016-05-02;2016-05-04;56,17
LON;BER;2016-05-02;2016-05-05;44,11
LON;BER;2016-05-02;2016-05-06;35,82
LON;BER;2016-05-02;2016-05-07;49,89
LON;BER;2016-05-02;2016-05-08;63,07
LON;BER;2016-05-02;2016-05-09;51,11
LON;BER;2016-05-02;2016-05-10;52,08
LON;BER;2016-05-02;2016-05-12;44,30
LON;BER;2016-05-02;2016-05-15;61,97
LON;BER;2016-05-02;2016-05-16;85,40
LON;BER;2016-05-02;2016-05-19;52,68
LON;BER;2016-05-02;2016-05-23;78,86
LON;BER;2016-05-02;2016-05-31;60,91
LON;BER;2016-05-02;2016-06-14;75,46
LON;BER;2016-05-02;2016-08-07;73,79
LON;BER;2016-05-03;;24,76
LON;BER;2016-05-03;2016-05-03;57,53
LON;BER;2016-05-03;2016-05-04;54,20
LON;BER;2016-05-03;2016-05-05;44,11
LON;BER;2016-05-03;2016-05-06;49,62
LON;BER;2016-05-03;2016-05-07;42,73
LON;BER;2016-05-03;2016-05-08;61,23
LON;BER;2016-05-03;2016-05-09;57,38
LON;BER;2016-05-03;2016-05-10;56,17
LON;BER;2016-05-03;2016-05-11;52,68
LON;BER;2016-05-03;2016-05-13;64,91
LON;BER;2016-05-03;2016-05-16;64,42
LON;BER;2016-05-03;2016-05-17;52,82
LON;BER;2016-05-03;2016-05-24;51,40
LON;BER;2016-05-03;2016-05-30;67,48
LON;BER;2016-05-03;2016-06-01;63,12
LON;BER;2016-05-04;;24,76
LON;BER;2016-05-04;2016-05-04;58,54
LON;BER;2016-05-04;2016-05-05;42,70
LON;BER;2016-05-04;2016-05-06;50,64
LON;BER;2016-05-04;2016-05-07;45,38
LON;BER;2016-05-04;2016-05-08;62,08
LON;BER;2016-05-04;2016-05-09;58,07
LON;BER;2016-05-04;2016-05-10;49,90
LON;BER;2016-05-04;2016-05-11;42,24
LON;BER;2016-05-04;2016-05-12;72,54
LON;BER;2016-05-04;2016-05-13;58,65
LON;BER;2016-05-04;2016-05-16;66,50
LON;BER;2016-05-04;2016-05-18;2,73
LON;BER;2016-05-04;2016-05-25;51,01
LON;BER;2016-05-04;2016-05-30;64,52
LON;BER;2016-05-04;2016-06-05;67,02
LON;BER;2016-05-04;2016-06-06;63,48
LON;BER;2016-05-05;;29,84
LON;BER;2016-05-05;2016-05-05;58,72
LON;BER;2016-05-05;2016-05-06;37,49
LON;BER;2016-05-05;2016-05-07;49,14
LON;BER;2016-05-05;2016-05-08;50,93
LON;BER;2016-05-05;2016-05-09;61,76
LON;BER;2016-05-05;2016-05-10;53,88
LON;BER;2016-05-05;2016-05-12;42,48
LON;BER;2016-05-05;2016-05-13;59,69
LON;BER;2016-05-05;2016-05-19;39,14
LON;BER;2016-05-05;2016-05-21;47,20
LON;BER;2016-05-05;2016-05-23;54,33
LON;BER;2016-05-05;2016-05-27;45,30
LON;BER;2016-05-06;;43,31
LON;BER;2016-05-06;2016-05-06;59,21
LON;BER;2016-05-06;2016-05-07;52,15
LON;BER;2016-05-06;2016-05-08;73,44
LON;BER;2016-05-06;2016-05-09;69,41
LON;BER;2016-05-06;2016-05-10;64,71
LON;BER;2016-05-06;2016-05-11;68,16
LON;BER;2016-05-06;2016-05-12;66,61
LON;BER;2016-05-06;2016-05-13;67,92
LON;BER;2016-05-06;2016-05-15;83,09
LON;BER;2016-05-06;2016-05-22;64,90
LON;BER;2016-05-06;2016-06-10;67,29
LON;BER;2016-05-07;;51,46
LON;BER;2016-05-07;2016-05-07;71,19
LON;BER;2016-05-07;2016-05-08;79,73
LON;BER;2016-05-07;2016-05-09;79,73
LON;BER;2016-05-07;2016-05-10;65,89
LON;BER;2016-05-07;2016-05-11;64,52
LON;BER;2016-05-07;2016-05-12;73,20
LON;BER;2016-05-07;2016-05-13;75,32
LON;BER;2016-05-07;2016-05-14;101,57
LON;BER;2016-05-07;2016-05-15;86,48
LON;BER;2016-05-07;2016-05-18;63,33
LON;BER;2016-05-07;2016-05-21;56,43
LON;BER;2016-05-07;2016-06-06;65,21
LON;BER;2016-05-07;2016-07-16;84,46
LON;BER;2016-05-08;;60,18
LON;BER;2016-05-08;2016-05-08;121,37
LON;BER;2016-05-08;2016-05-09;104,96
LON;BER;2016-05-08;2016-05-10;82,22
LON;BER;2016-05-08;2016-05-11;79,50
LON;BER;2016-05-08;2016-05-12;75,97
LON;BER;2016-05-08;2016-05-13;86,94
LON;BER;2016-05-08;2016-05-14;102,16
LON;BER;2016-05-08;2016-05-15;107,97
LON;BER;2016-05-08;2016-05-16;131,51
LON;BER;2016-05-08;2016-05-17;63,58
LON;BER;2016-05-08;2016-05-19;91,54
LON;BER;2016-05-08;2016-05-20;74,98
LON;BER;2016-05-09;;34,74
LON;BER;2016-05-09;2016-05-09;69,31
LON;BER;2016-05-09;2016-05-10;74,96
LON;BER;2016-05-09;2016-05-11;55,09
LON;BER;2016-05-09;2016-05-12;57,78
LON;BER;2016-05-09;2016-05-13;72,10
LON;BER;2016-05-09;2016-05-14;73,30
LON;BER;2016-05-09;2016-05-15;71,06
LON;BER;2016-05-09;2016-05-16;95,99
LON;BER;2016-05-09;2016-05-17;52,55
LON;BER;2016-05-09;2016-05-18;56,30
LON;BER;2016-05-09;2016-05-19;56,36
LON;BER;2016-05-09;2016-05-22;66,80
LON;BER;2016-05-09;2016-05-23;58,13
LON;BER;2016-05-09;2016-05-30;74,49
LON;BER;2016-05-09;2016-06-03;59,83
LON;BER;2016-05-10;;24,95
LON;BER;2016-05-10;2016-05-10;50,03
LON;BER;2016-05-10;2016-05-11;37,56
LON;BER;2016-05-10;2016-05-12;45,54
LON;BER;2016-05-10;2016-05-13;52,42
LON;BER;2016-05-10;2016-05-14;66,77
LON;BER;2016-05-10;2016-05-15;61,77
LON;BER;2016-05-10;2016-05-16;74,80
LON;BER;2016-05-10;2016-05-17;49,48
LON;BER;2016-05-10;2016-05-18;52,04
LON;BER;2016-05-10;2016-05-19;49,52
LON;BER;2016-05-10;2016-05-20;44,30
LON;BER;2016-05-10;2016-05-21;44,27
LON;BER;2016-05-10;2016-05-22;49,24
LON;BER;2016-05-10;2016-05-24;45,28
LON;BER;2016-05-10;2016-05-25;53,52
LON;BER;2016-05-10;2016-05-26;44,27
LON;BER;2016-05-10;2016-05-27;37,71
LON;BER;2016-05-10;2016-05-30;64,52
LON;BER;2016-05-10;2016-05-31;49,14
LON;BER;2016-05-10;2016-06-10;49,52
LON;BER;2016-05-11;;24,95
LON;BER;2016-05-11;2016-05-12;48,71
LON;BER;2016-05-11;2016-05-13;64,91
LON;BER;2016-05-11;2016-05-14;58,54
LON;BER;2016-05-11;2016-05-15;63,07
LON;BER;2016-05-11;2016-05-16;87,92
LON;BER;2016-05-11;2016-05-17;45,38
LON;BER;2016-05-11;2016-05-18;47,20
LON;BER;2016-05-11;2016-05-19;51,99
LON;BER;2016-05-11;2016-05-21;50,77
LON;BER;2016-05-11;2016-05-23;49,24
LON;BER;2016-05-11;2016-05-25;47,81
LON;BER;2016-05-11;2016-05-26;54,92
LON;BER;2016-05-11;2016-05-27;42,48
LON;BER;2016-05-11;2016-05-30;64,52
LON;BER;2016-05-12;;43,31
LON;BER;2016-05-12;2016-05-12;60,28
LON;BER;2016-05-12;2016-05-13;86,15
LON;BER;2016-05-12;2016-05-14;86,48
LON;BER;2016-05-12;2016-05-15;62,67
LON;BER;2016-05-12;2016-05-16;97,40
LON;BER;2016-05-12;2016-05-17;53,00
LON;BER;2016-05-12;2016-05-18;50,91
LON;BER;2016-05-12;2016-05-19;58,07
LON;BER;2016-05-12;2016-05-20;70,20
LON;BER;2016-05-12;2016-05-22;64,50
LON;BER;2016-05-12;2016-05-23;65,31
LON;BER;2016-05-12;2016-05-24;58,67
LON;BER;2016-05-12;2016-05-26;58,68
LON;BER;2016-05-12;2016-05-27;74,31
LON;BER;2016-05-12;2016-05-31;72,94
LON;BER;2016-05-12;2016-07-16;78,05
LON;BER;2016-05-12;2016-08-15;86,59
LON;BER;2016-05-13;;52,00
LON;BER;2016-05-13;2016-05-13;143,23
LON;BER;2016-05-13;2016-05-14;116,91
LON;BER;2016-05-13;2016-05-15;83,65
LON;BER;2016-05-13;2016-05-16;117,69
LON;BER;2016-05-13;2016-05-17;90,15
LON;BER;2016-05-13;2016-05-18;102,27
LON;BER;2016-05-13;2016-05-19;94,20
LON;BER;2016-05-13;2016-05-20;90,84
LON;BER;2016-05-13;2016-05-21;95,34
LON;BER;2016-05-13;2016-05-22;86,84
LON;BER;2016-05-13;2016-05-23;77,63
LON;BER;2016-05-13;2016-05-25;104,57
LON;BER;2016-05-13;2016-06-28;94,99
LON;BER;2016-05-13;2016-08-16;94,67
LON;BER;2016-05-14;;43,86
LON;BER;2016-05-14;2016-05-14;69,73
LON;BER;2016-05-14;2016-05-15;63,95
LON;BER;2016-05-14;2016-05-16;106,21
LON;BER;2016-05-14;2016-05-17;53,46
LON;BER;2016-05-14;2016-05-18;51,71
LON;BER;2016-05-14;2016-05-19;64,04
LON;BER;2016-05-14;2016-05-20;63,27
LON;BER;2016-05-14;2016-05-21;64,04
LON;BER;2016-05-14;2016-05-22;68,82
LON;BER;2016-05-14;2016-05-24;57,36
LON;BER;2016-05-14;2016-05-28;61,47
LON;BER;2016-05-14;2016-05-29;74,06
LON;BER;2016-05-14;2016-05-30;48,99
LON;BER;2016-05-14;2016-06-04;74,54
LON;BER;2016-05-15;;25,46
LON;BER;2016-05-15;2016-05-15;94,10
LON;BER;2016-05-15;2016-05-16;75,12
LON;BER;2016-05-15;2016-05-17;49,18
LON;BER;2016-05-15;2016-05-18;37,49
LON;BER;2016-05-15;2016-05-19;49,90
LON;BER;2016-05-15;2016-05-20;51,40
LON;BER;2016-05-15;2016-05-22;42,48
LON;BER;2016-05-15;2016-05-23;85,19
LON;BER;2016-05-15;2016-05-25;55,33
LON;BER;2016-05-15;2016-05-26;49,47
LON;BER;2016-05-15;2016-05-28;45,51
LON;BER;2016-05-16;;36,77
LON;BER;2016-05-16;2016-05-16;80,49
LON;BER;2016-05-16;2016-05-18;54,04
LON;BER;2016-05-16;2016-05-19;52,69
LON;BER;2016-05-16;2016-05-20;52,68
LON;BER;2016-05-16;2016-05-21;59,20
LON;BER;2016-05-16;2016-05-22;58,13
LON;BER;2016-05-16;2016-05-23;48,00
LON;BER;2016-05-16;2016-05-24;63,00
LON;BER;2016-05-16;2016-05-25;63,00
LON;BER;2016-05-16;2016-05-26;51,69
LON;BER;2016-05-16;2016-06-08;63,35
LON;BER;2016-05-16;2016-06-09;54,25
LON;BER;2016-05-16;2016-06-13;61,59
LON;BER;2016-05-17;;24,76
LON;BER;2016-05-17;2016-05-17;59,40
LON;BER;2016-05-17;2016-05-18;51,56
LON;BER;2016-05-17;2016-05-19;42,69
LON;BER;2016-05-17;2016-05-20;47,73
LON;BER;2016-05-17;2016-05-21;50,76
LON;BER;2016-05-17;2016-05-22;48,75
LON;BER;2016-05-17;2016-05-23;51,16
LON;BER;2016-05-17;2016-05-24;39,14
LON;BER;2016-05-17;2016-05-25;48,59
LON;BER;2016-05-17;2016-05-26;53,00
LON;BER;2016-05-17;2016-05-27;45,38
LON;BER;2016-05-17;2016-05-28;50,36
LON;BER;2016-05-17;2016-05-31;58,34
LON;BER;2016-05-17;2016-06-07;74,46
LON;BER;2016-05-18;;24,76
LON;BER;2016-05-18;2016-05-19;48,48
LON;BER;2016-05-18;2016-05-20;45,55
LON;BER;2016-05-18;2016-05-21;41,64
LON;BER;2016-05-18;2016-05-22;40,81
LON;BER;2016-05-18;2016-05-23;50,34
LON;BER;2016-05-18;2016-05-24;49,67
LON;BER;2016-05-18;2016-05-25;49,64
LON;BER;2016-05-18;2016-05-27;42,06
LON;BER;2016-05-18;2016-05-28;49,47
LON;BER;2016-05-18;2016-05-29;80,73
LON;BER;2016-05-18;2016-05-31;60,28
LON;BER;2016-05-18;2016-06-01;45,46
LON;BER;2016-05-19;;28,46
LON;BER;2016-05-19;2016-05-19;48,99
LON;BER;2016-05-19;2016-05-20;52,01
LON;BER;2016-05-19;2016-05-21;55,96
LON;BER;2016-05-19;2016-05-22;52,68
LON;BER;2016-05-19;2016-05-23;55,03
LON;BER;2016-05-19;2016-05-24;54,07
LON;BER;2016-05-19;2016-05-25;56,17
LON;BER;2016-05-19;2016-05-26;46,98
LON;BER;2016-05-19;2016-05-27;77,64
LON;BER;2016-05-19;2016-05-29;63,97
LON;BER;2016-05-19;2016-05-31;59,48
LON;BER;2016-05-19;2016-06-01;63,48
LON;BER;2016-05-19;2016-06-22;59,48
LON;BER;2016-05-19;2016-10-24;89,01
LON;BER;2016-05-20;;29,84
LON;BER;2016-05-20;2016-05-20;67,50
LON;BER;2016-05-20;2016-05-22;64,75
LON;BER;2016-05-20;2016-05-23;65,23
